Title,Description,Link
Understand your credit score,"Credit scores are crucial for financial transactions, as they help banks, credit card companies, and other lenders assess your creditworthiness. A higher credit score generally means easier access to loans and lower interest rates. However, it's important to note that you may have multiple credit scores due to variations in scoring models, lender preferences, and data sources. These scores can differ, impacting your ability to secure favorable terms from different lenders. Your credit scores are primarily derived from the information in your credit reports, provided by major credit reporting agencies like Equifax, Experian, and TransUnion. Factors such as the number of accounts, payment history, credit utilization, and length of credit history influence your score. To improve your score, focus on timely bill payments, maintaining a low credit utilization ratio, and fostering a long credit history. It's also essential to scrutinize your credit reports regularly for inaccuracies or fraudulent activities, as these errors can significantly impact your credit standing. If you find any discrepancies, follow the provided instructions to dispute them with both the credit reporting company and the source of the erroneous information.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_understand-your-credit-score.pdf
How to rebuild your credit,"Rebuilding your credit after experiencing financial challenges necessitates a disciplined approach over time, devoid of quick fixes. The process involves several key steps: ensuring timely bill payments, maintaining a low credit utilization ratio, avoiding opening multiple accounts rapidly, considering secured credit cards if traditional ones are inaccessible, consistently paying off credit card balances monthly, and regularly monitoring your credit reports for errors. Understanding the duration of negative information on your credit report is crucial, with late payments lasting 7 years, Chapter 13 bankruptcy for 7 years, Chapter 7 bankruptcy for 10 years, and foreclosures and judgments typically for 7 years or more. It's essential to be wary of actions that don't contribute to credit rebuilding, such as using debit or prepaid cards, taking out payday loans, or obtaining auto loans from specific lenders unless they ensure reporting on-time payments. These steps, coupled with diligence and patience, form the foundation for successful credit rebuilding efforts.",https://files.consumerfinance.gov/f/documents/cfpb_how-to-rebuild-your-credit.pdf
Credit report rule to live by,"Adhering to financial advice can sometimes feel daunting, but when it comes to managing your credit, consistency is key. Utilizing the opportunity to check your credit report annually from each of the three nationwide credit reporting agencies, along with the additional six free reports from Equifax until 2026, offers a structured approach to monitoring your financial health. To personalize this guidance, creating a simple rule tailored to your circumstances is paramount. Whether it's setting a specific date each year, like your birthday, or spreading out checks throughout the year, establishing a routine helps maintain accountability. By incorporating this rule into your financial habits and taking proactive steps, such as setting reminders and accessing reports through authorized channels like annualcreditreport.com, you can navigate the complexities of credit management with confidence. Remember, just as lane markers guide a driver on a highway, your personalized credit rule serves as a navigational tool, steering you towards your financial goals.",https://files.consumerfinance.gov/f/documents/cfpb_worksheet_my-credit-reporting-rule-to-live-by.pdf
Watch accounts closely when card data is hacked,"Maintaining vigilance over your account activity is paramount in safeguarding against unauthorized transactions and potential theft of credit or debit card information. With evolving methods employed by fraudsters, from data breaches to sophisticated hacking techniques, staying proactive is essential. Regularly monitoring your accounts, whether through online portals or paper statements, enables you to promptly identify any suspicious activity. Be especially cautious of unfamiliar merchant names or transactions outside your usual area, even for small amounts, as these could signify attempted theft. Should you detect any unauthorized charges or debits, swift action is imperative. Contact your bank or card provider immediately to report the suspicious activity and take necessary steps such as canceling and replacing compromised cards. Remember, timely reporting is crucial, as it not only limits your liability but also expedites the investigation process by financial institutions. Additionally, take advantage of security features offered by mobile payment apps to add an extra layer of protection. By remaining vigilant and proactive, you can mitigate the risks associated with unauthorized transactions and protect your financial assets effectively.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_watch-accounts-closely-when-card-data-is-hacked_ZMw9zgY.pdf
You Have a Right to See Specialty Credit Reports,"Ensuring transparency in the information held about you by nationwide specialty consumer reporting companies is crucial, and you have the right to access this data. Similar to traditional nationwide credit reporting agencies, such as Experian, Equifax, and TransUnion, these specialty companies must provide you with a free report annually upon request. Moreover, they are mandated to facilitate easy access to your file, typically by offering a toll-free number for ordering your report. Vigilance in checking for errors in your consumer reports is paramount, as inaccuracies or instances of identity theft can not only impact your borrowing costs but also hinder your ability to secure credit, insurance, leases, or employment opportunities. These specialty reporting companies compile a diverse array of data, including medical records, residential history, employment records, and insurance claims, which they furnish to various entities. To assist consumers in accessing their reports, a comprehensive list of reporting companies' websites and toll-free numbers has been compiled by the Consumer Financial Protection Bureau (CFPB). It's essential to scrutinize your consumer reports regularly, and in case of discrepancies, promptly notify both the consumer reporting company and the information provider. Additionally, if you encounter incorrect information, you have the option to file a complaint with the CFPB for further assistance. By exercising your right to access and rectify inaccuracies in your consumer reports, you can safeguard your financial interests effectively.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_you-have-a-right-to-see-specialty-credit-reports.pdf
Specialty Credit Reporting list,"The document from the Consumer Financial Protection Bureau, dated 2019, provides a comprehensive list and detailed guidance regarding consumer reporting companies. These entities collect and provide reports that influence decisions in credit, employment, insurance, and other sectors. It includes information on how to access and correct these reports under legal rights, and it details the various companies involved, ranging from nationwide to niche market reporters. Furthermore, the document outlines the process for requesting reports, which is crucial for verifying accuracy and disputing potential errors. The list aims to empower consumers by making it easier to navigate their rights and the reporting landscape.",https://files.consumerfinance.gov/f/documents/cfpb_consumer-reporting-companies-list_uG9V3yS.pdf
Dispute an error for a minor,"This document is a template letter designed to assist caseworkers in disputing credit reports for minors in foster care. It outlines a process by which a caseworker can inform a credit bureau about the existence of a credit report for a minor who should not have one, providing a clear explanation that the minor does not recognize any of the accounts listed. The document includes detailed instructions on how to fill out and send the dispute letter, what information to include about the youth, and how to follow up to ensure the credit report errors are corrected. The template serves as a vital tool for protecting the financial identities of foster youth, by helping to remove erroneous credit information from their records.",https://files.consumerfinance.gov/f/201405_cfpb_foster-youth-letter_minor-dispute.doc
Dispute an error for a youth who is 18 or older if the error occurred before his or her 18th birthday,"This document is a template letter intended for use by caseworkers to help dispute credit report inaccuracies for individuals who were in foster care and are now 18 or older, particularly focusing on credit activities that occurred while they were minors. The template guides caseworkers through the process of documenting and contesting these inaccuracies with a credit bureau, emphasizing the importance of rectifying any errors that should not legally exist due to the youth's minor status at the time of the credit activity. It includes detailed steps for filling out the letter, attaching necessary documentation, and following up with the credit bureau to ensure the errors are removed. This is crucial for assisting young adults in foster care in protecting their financial records and ensuring their credit reports accurately reflect their financial history.",https://files.consumerfinance.gov/f/201405_cfpb_foster-youth-letter_adult-minor-dispute.doc
Help your kids start and maintain good credit,"This document provides comprehensive guidance for parents or guardians on how to start and maintain good credit for their children, emphasizing the prevention of identity theft. It explains the importance of checking whether a child has a credit report, detailing the potential for errors or identity theft, which could significantly impact a child's future financial health. The PDF outlines step-by-step instructions on how to request a child's credit report from the three major credit bureaus—TransUnion, Equifax, and Experian—including the necessary documentation and the process for submitting inquiries. It also covers what actions to take if fraudulent activity is discovered on a minor's credit report, such as placing fraud alerts, freezing credit, and directly contacting creditors to resolve disputes. This resource is vital for safeguarding a child's credit and is supported by links to additional information and forms online",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_help-your-kids-start-and-maintain-good-credit.pdf
Help youth in foster care start and maintain good credit,"This document serves as a guide from the Consumer Financial Protection Bureau aimed at helping caseworkers assist youth in foster care to start and maintain good credit. It emphasizes the importance of credit monitoring to prevent identity theft and manage credit inaccuracies, which are particularly prevalent among foster youth. The guide outlines the requirements under the Child and Family Services Improvement and Innovation Act of 2011, which mandates state child welfare agencies to ensure that foster youth aged 16 and older receive annual credit reports and assistance in resolving inaccuracies. It provides detailed instructions for caseworkers on how to access these credit reports through the major credit bureaus (Experian, Equifax, and TransUnion) and how to handle instances of identity theft or errors on the reports. Additionally, it discusses the processes for placing security freezes and fraud alerts on credit files, and it includes links to further resources for both caseworkers and parents or guardians involved in overseeing the financial well-being of youth in foster care.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_help-youth-in-foster-care-start-and-maintain-good-credit.pdf
Understand your credit report,"This document from the Consumer Financial Protection Bureau provides a detailed guide on understanding credit reports. It explains the components of a credit report, including personal information, public records, account information, and inquiries, and how these elements can affect one's credit standing. The handout also emphasizes the importance of regularly checking credit reports to ensure accuracy, detailing how errors can be disputed and corrected. It outlines the difference between 'hard' and 'soft' inquiries and their impacts on credit scores. Additionally, the document provides information on how to obtain free credit reports annually from the three major credit bureaus—Equifax, Experian, and TransUnion—as part of consumer rights. This guide is crucial for anyone looking to understand their credit report better, manage their credit health, and navigate the potential complexities of credit reporting",https://files.consumerfinance.gov/f/documents/cfpb_understand_your_credit_report_handout.pdf
Know your rights when a debt collector calls,"This document, provided by the Consumer Financial Protection Bureau, serves as an informative guide on the rights individuals have when contacted by debt collectors. It outlines the appropriate steps to take when approached, emphasizing the importance of verifying the legitimacy of both the debt and the collector. The guide details how to respond to and manage communications, ensuring that individuals are aware of their rights against harassment and deceit under the Fair Debt Collection Practices Act. It also advises on actions to take if the debt is unrecognized or outdated, such as disputing the debt or consulting legal statutes regarding the time limits for collection. Additionally, it stresses the significance of maintaining records of all correspondence with debt collectors and provides resources for further assistance, including sample letters and how to file complaints with the CFPB. This handout is a valuable resource for anyone dealing with debt collection, providing crucial information to protect consumers' rights and financial well-being",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_know-your-rights-when-a-debt-collector-calls.pdf
Planning to become debt-free?,"This document from the Consumer Financial Protection Bureau provides practical advice for individuals planning to become debt-free. It explains the benefits of working with a credit counselor and the potential pitfalls of engaging with debt settlement companies. The handout outlines how credit counselors can help create a manageable budget and debt management plan, emphasizing the non-profit nature of these services and their ability to potentially negotiate better repayment terms with creditors. Conversely, it warns against debt settlement companies that may offer misleading promises and charge illegal upfront fees, potentially worsening the debtor's financial situation. The document also includes guidance on recognizing signs of debt settlement scams and stresses the importance of maintaining communication with creditors. Additionally, it provides contact information for submitting complaints about financial products or services to the Consumer Financial Protection Bureau. This handout is a crucial resource for anyone facing debt challenges, offering guidance on navigating debt relief options responsibly.",https://files.consumerfinance.gov/f/documents/cfpb_planning_become_debt_free_handout.pdf
Making housing decisions after losing a spouse or partner,"This document from the Consumer Financial Protection Bureau provides a comprehensive guide for older Americans facing housing decisions after the loss of a spouse or partner. It emphasizes the importance of carefully considering emotional, physical, and financial factors before making a decision about whether to stay in one's current home or move. The guide offers detailed questions to help individuals assess their situation, such as the emotional ties to the home, the feasibility of maintaining the home physically as they age, and the financial implications of staying versus moving. It also explores various housing options, including downsizing, moving closer to family or into senior living communities, and outlines steps to access housing and legal counseling services. Additionally, the guide includes links to resources for further assistance, such as the AARP HomeFit Guide and the Home Modification Information Network, which can aid in making informed decisions about housing needs following a significant life change.",https://files.consumerfinance.gov/f/documents/cfpb_jith_loss_spouse_partner.pdf
Making housing decisions when your health changes,"This document from the Consumer Financial Protection Bureau is a practical guide aimed at helping older Americans make informed housing decisions in light of significant changes in their health. It addresses the variety of needs that may arise, such as medical support, mobility, personal hygiene, home care, transportation, financial management, and emotional support, providing a detailed checklist for individuals to assess their specific requirements. The guide outlines various supportive housing options ranging from in-home care, whether medical or non-medical, to facility-based options like assisted living, nursing homes, and Continuing Care Retirement Communities (CCRCs). It also discusses necessary home modifications to enhance safety and livability, pointing to resources like the AARP HomeFit Guide and the CDC’s safety checklist. Furthermore, it provides information on financial assistance for housing costs and how to access equity in one’s home safely. This comprehensive guide is invaluable for older adults facing health changes, ensuring they have the knowledge to choose housing that best suits their changing needs.",https://files.consumerfinance.gov/f/documents/cfpb_jith_change_in_health.pdf
Leaving your home to children or heirs,"This document from the Consumer Financial Protection Bureau is a guide designed to assist older Americans in planning how to leave their home to children or other heirs. It outlines several methods for transferring home ownership, such as wills, gifts, sales, trusts, and ""transfer on death"" deeds, explaining the legal and financial implications of each option. The guide stresses the importance of consulting legal and tax professionals to navigate the potential complexities and ensure the transfer aligns with the homeowner's wishes while minimizing tax burdens and avoiding probate where possible. It also provides resources for finding free or affordable legal help, particularly for those over 60 or with low income, and offers tips on how to avoid scams related to estate planning. This comprehensive resource aims to help individuals make informed decisions about passing on their property, potentially easing the transition for their heirs and reducing family conflict.",https://files.consumerfinance.gov/f/documents/cfpb_jith_heirs_guide.pdf
Using home equity to meet financial needs,"This document from the Consumer Financial Protection Bureau provides a guide for older Americans on using home equity to meet financial needs. It details various methods such as cash-out refinancing, home equity loans, home equity lines of credit (HELOC), and reverse mortgages, including their eligibility requirements, repayment terms, and potential risks. The guide emphasizes the importance of understanding the financial implications of using home equity, such as the impact on credit scores, the risk of foreclosure if unable to meet loan requirements, and the potential effects on one's financial stability. It advises consulting with financial, legal, and housing counseling professionals to make informed decisions and avoid scams, and it provides resources for finding necessary assistance. This guide serves as a crucial resource for homeowners considering leveraging their home equity to manage financial challenges in retirement.",https://files.consumerfinance.gov/f/documents/cfpb_jith_home_equity.pdf
Helpful shortcuts for credit card use: Ideas for financial educators,"This document from the Consumer Financial Protection Bureau discusses the effectiveness of using simple financial rules of thumb to help consumers manage their credit card use more responsibly. The document outlines a study focused on two specific guidelines: using cash for purchases under $20 and understanding that credit adds approximately 20% to the total cost. These rules were tested to see if they could help reduce credit card debt. The findings indicated that such simple, low-cost behavioral nudges could modestly decrease credit card balances and were particularly effective among consumers under 40. The guide suggests that financial educators integrate these easy-to-remember strategies into their teachings to aid consumers in achieving better financial well-being, highlighting the scalability and cost-effectiveness of such educational methods.",https://files.consumerfinance.gov/f/documents/201701_cfpb_Financial-Educators-Digest-on-Credit-Card-Use.pdf
Rules to live by: Ideas for financial educators,"This document from the Consumer Financial Protection Bureau offers insights and strategies for financial educators to help consumers apply practical ""rules of thumb"" for managing their finances. It emphasizes the utility of simplified financial guidelines to make complex daily financial decisions more manageable. The guide discusses the challenges consumers face in applying these rules, based on focus group findings, and provides methods for educators to aid consumers in tailoring these rules to their personal financial situations. The resource aims to bridge the gap between general financial advice and individual application, enhancing consumer engagement and effectiveness in financial decision-making.",https://files.consumerfinance.gov/f/documents/201701_cfpb_Financial-Educators-Digest-on-Credit-Card-Use.pdf
Managing family lending and borrowing,"This document from the Consumer Financial Protection Bureau provides a structured guide to managing lending and borrowing within family and friends. It outlines a step-by-step conversation framework to ensure clarity and mutual understanding before any financial assistance is given or received. The guide includes key questions to define who is involved, the amount, the nature of the support, terms of repayment, and contingency plans if repayment isn't feasible as initially planned. By establishing these parameters, the guide helps prevent misunderstandings and maintain healthy relationships while dealing with family loans. Additionally, it briefly touches on the tax implications of gifts and forgiven loans, directing readers to the IRS for more detailed information, ensuring both parties are well-informed about the potential financial and relational impacts of their agreement.",https://files.consumerfinance.gov/f/documents/cfpb_handout_family_lending.pdf
Managing spending: Ideas for financial educators,"This document from the Consumer Financial Protection Bureau is designed for financial educators, focusing on strategies to help consumers manage their spending effectively. It emphasizes the significance of having control over day-to-day and month-to-month finances as a crucial element of financial well-being. The guide discusses common challenges consumers face, such as the difficulty of adhering to budgets and the tendency to make impulse purchases. It offers practical suggestions for financial educators on how to make budgeting more approachable and effective, including breaking down tasks, tracking spending, and planning for special occasions. Additionally, it touches on strategies for avoiding financial pitfalls and maintaining financial discipline during everyday transactions. The document is a valuable resource for educators aiming to empower consumers to achieve greater financial stability through improved spending management.",https://files.consumerfinance.gov/f/documents/201702_cfpb_Managing-Spending-Ideas-for-Financial-Educators.pdf
Consumer tips for managing spending,"This document from the Consumer Financial Protection Bureau provides practical tips and a structured approach for consumers aiming to manage their spending more effectively. It offers a detailed worksheet to help individuals identify common spending challenges and provides straightforward strategies to address these challenges. The guide encourages consumers to gain a better handle on their finances by tracking spending, creating a manageable budget, setting realistic spending limits, and regularly comparing actual spending against their budget. Additionally, it emphasizes the importance of building financial resilience and achieving well-being through mindful spending and proactive financial management. This resource is designed to empower consumers to take control of their financial lives, providing them with tools and suggestions to improve their financial habits and meet their goals.",https://files.consumerfinance.gov/f/documents/201702_cfpb_Consumer-Tips-on-Managing-Spending.pdf
My spending rule to live by,"This document from the Consumer Financial Protection Bureau is a practical worksheet designed to help individuals create and adhere to a personal spending rule that aligns with their financial goals. It introduces the concept of the 50/20/30 rule, which suggests allocating 50% of take-home pay to needs, 20% to savings and debt repayment, and 30% to wants. The worksheet guides users through the process of defining these categories for their personal budget, monitoring their spending, and setting a manageable rule for discretionary expenses. It emphasizes the importance of making financial rules realistic and actionable to improve financial well-being. The tool aims to provide consumers with a clear framework to better manage their finances, reduce financial stress, and work towards achieving greater economic security.",https://files.consumerfinance.gov/f/documents/cfpb_worksheet_my-spending-rule-to-live-by.pdf
My credit spending rule to live by,"This document from the Consumer Financial Protection Bureau is a structured worksheet designed to help consumers develop personalized rules for credit card use to better manage and potentially reduce their debt. It advocates for a practical approach, such as using cash for purchases under $20, to prevent small expenses from accumulating significant interest charges. The worksheet guides users through analyzing their credit card statements to identify small transactions, setting specific, actionable rules like paying cash for morning coffee or weekend entertainment, and encourages writing down these rules to enhance commitment. This tool aims to empower individuals to make more informed, conscious decisions about their credit spending, helping them steer their financial behavior in a healthier direction.",https://files.consumerfinance.gov/f/documents/cfpb_worksheet_my-credit-spending-rule-to-live-by.pdf
Digest: Managing cash flow and bill payments,"This document from the Consumer Financial Protection Bureau addresses the challenges consumers face in managing cash flow and bill payments effectively. It provides a comprehensive overview of common issues like the complexity of payment methods, the timing of paychecks versus bill due dates, and the psychological tendencies that complicate financial management. The guide offers practical suggestions for financial educators and service providers to help consumers streamline their bill-paying processes. These include aligning bill payment dates with paydays, setting up encouraging reminders for due bills, creating systems to earmark funds for bills, and utilizing automatic payments judiciously to maintain control over finances. The document emphasizes the importance of understanding consumer behavior to implement strategies that reduce the likelihood of late payments and financial stress.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_managing-cash-flow-and-bill-payments.pdf
Know your overdraft options,"This document from the Consumer Financial Protection Bureau provides comprehensive information about managing overdrafts on bank accounts. It explains what overdrafts are, the fees associated with them, and practical strategies for consumers to manage or avoid these fees. The handout outlines three main options for handling overdrafts: opting out of debit and ATM overdraft coverage, linking a checking account to a savings account to cover overdrafts, and considering a line of credit for overdraft protection. Additionally, it offers tips on how to avoid overdraft fees through careful account management, setting up low-balance alerts, and understanding the timing of transactions and deposits. This guide aims to empower consumers with knowledge and tools to better manage their finances and avoid costly fees associated with overdrafts.",https://files.consumerfinance.gov/f/documents/cfpb_know_your_overdraft_options-handout.pdf
My new money goal,"This document from the Consumer Financial Protection Bureau is a detailed financial planning worksheet designed to help users set and achieve new money goals. It guides users through a comprehensive process of defining a financial goal, assessing monthly income, analyzing expenses, and reviewing current savings efforts. The worksheet helps users calculate how much they need to save each month to meet their goal and offers a framework to adjust their financial plans accordingly. It encourages practical steps such as increasing income, extending the timeframe of the goal, reducing expenses, or adjusting the goal amount. This tool aims to provide a structured approach to personal financial planning, enabling users to create realistic and actionable plans for their financial aspirations.",https://files.consumerfinance.gov/f/documents/cfpb_my-new-money-goal-planning_worksheet.pdf
SAVED: Five steps for making financial decisions,"This document from the Consumer Financial Protection Bureau provides a five-step framework called SAVED to guide consumers through making informed financial decisions. The steps are: Stop for a mental break, Ask questions about costs and risks, Verify the information provided, Estimate your costs, and Decide if the financial product or service offers good value. The guide emphasizes the importance of pausing before committing to financial decisions, thoroughly questioning and verifying costs and terms, and using tools to estimate overall costs over time. It also advises on checking the credibility of financial services and products through comparison shopping and regulatory checks with state and federal authorities. This structured approach aims to empower consumers to navigate financial choices more confidently and avoid potential pitfalls.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-ed_five-steps-for-making-financial-decisions.pdf
Manage your college money,"This handout from the Consumer Financial Protection Bureau offers practical advice to college students on managing their finances, particularly regarding how to choose and use a bank account. It outlines three key steps: choosing an account, avoiding unexpected fees, and setting up direct deposit, especially for receiving financial aid more efficiently. The guide emphasizes the importance of shopping around for a bank account that offers essential services like remote check deposits, mobile apps, and online bill-pay without unnecessary fees. It also advises students on how to avoid overdraft fees and manage their financial aid credit balances effectively, suggesting options like direct deposits to a bank account or checks. This resource is designed to help college students make informed financial decisions to safeguard and manage their money more effectively during their college years.",https://files.consumerfinance.gov/f/documents/cfpb_P4C_manage_your_college_money_handout.pdf
Your disaster checklist,"This document from the Consumer Financial Protection Bureau provides a comprehensive checklist to help individuals prepare their personal finances for emergencies. Titled ""Your Disaster Checklist,"" it underscores the importance of organizing and safeguarding crucial financial and personal documents to ensure quick recovery after a disaster. The checklist guides users on collecting and copying important documents such as insurance policies, account numbers, personal identification, and property deeds. It also advises on making these records accessible yet secure, such as using encrypted digital storage or safe deposit boxes, and highlights the significance of having a detailed inventory of belongings. Additionally, the guide offers practical steps for managing finances immediately after a disaster, including how to handle housing costs and avoid scams. This resource is designed to empower individuals to protect their financial well-being in the face of emergencies.",https://files.consumerfinance.gov/f/documents/cfpb_adult-fin-edyour-disaster-checklist.pdf
